dogname,sex,mine_away,areas
jumbuck,male,away,158.5890454179284
boss,male,mine,37.92387134664552
billabong,male,intermediate,551.9992407239569
julliette,female,away,311.87501114501845
hans,male,intermediate,1814.8519305706811
alistair,male,away,1836.170170920992
kylie,female,mine,67.25464297432312
unit,male,mine,49.706752314023646
pinky,female,away,397.9475928222915
arnie,male,intermediate,547.7344400209109
carrot,male,intermediate,197.98590092025708
shaun,male,intermediate,368.2371356979824
floppy,female,mine,1.5239590503994989
